label,sweep_param,param_value,T_K,kappa_p_W_mK
Cu,A_U,1e-45,500,21.150479979180187
Cu,A_U,1.7782794100389227e-45,200,20.247915459792424
Cu,A_U,1.7782794100389227e-45,300,20.83238185109914
Cu,A_U,1.7782794100389227e-45,400,21.048362149577205
Cu,A_U,1.7782794100389227e-45,500,21.150479979180187
Cu,A_U,3.162277660168379e-45,200,20.247915459792424
Cu,A_U,3.162277660168379e-45,300,20.83238185109914
Cu,A_U,3.162277660168379e-45,400,21.048362149577205
Cu,A_U,3.162277660168379e-45,500,21.150479979180187
Cu,A_U,5.623413251903491e-45,200,20.247915459792424
Cu,A_U,5.623413251903491e-45,300,20.83238185109914
Cu,A_U,5.623413251903491e-45,400,21.048362149577205
Cu,A_U,5.623413251903491e-45,500,21.150479979180187
Cu,A_U,1e-44,200,20.247915459792424
Cu,A_U,1e-44,300,20.83238185109914
Cu,A_U,1e-44,400,21.048362149577205
Cu,A_U,1e-44,500,21.150479979180187
Cu,A_U,1.7782794100389228e-44,200,20.247915459792424
Cu,A_U,1.7782794100389228e-44,300,20.83238185109914
Cu,A_U,1.7782794100389228e-44,400,21.048362149577205
Cu,A_U,1.7782794100389228e-44,500,21.150479979180187
Cu,A_U,3.162277660168379e-44,200,20.247915459792424
Cu,A_U,3.162277660168379e-44,300,20.83238185109914
Cu,A_U,3.162277660168379e-44,400,21.048362149577205
Cu,A_U,3.162277660168379e-44,500,21.150479979180187
Cu,A_U,5.623413251903491e-44,200,20.247915459792424
Cu,A_U,5.623413251903491e-44,300,20.83238185109914
Cu,A_U,5.623413251903491e-44,400,21.048362149577205
Cu,A_U,5.623413251903491e-44,500,21.150479979180187
Cu,A_U,1e-43,200,20.247915459792424
Cu,A_U,1e-43,300,20.83238185109914
Cu,A_U,1e-43,400,21.048362149577205
Cu,A_U,1e-43,500,21.150479979180187
Cu,A_U,1.7782794100389228e-43,200,20.247915459792424
Cu,A_U,1.7782794100389228e-43,300,20.83238185109914
Cu,A_U,1.7782794100389228e-43,400,21.048362149577205
Cu,A_U,1.7782794100389228e-43,500,21.150479979180187
Cu,A_U,3.162277660168379e-43,200,20.247915459792424
Cu,A_U,3.162277660168379e-43,300,20.83238185109914
Cu,A_U,3.162277660168379e-43,400,21.048362149577205
Cu,A_U,3.162277660168379e-43,500,21.150479979180187
Cu,A_U,5.623413251903491e-43,200,20.247915459792424
Cu,A_U,5.623413251903491e-43,300,20.83238185109914
Cu,A_U,5.623413251903491e-43,400,21.048362149577205
Cu,A_U,5.623413251903491e-43,500,21.150479979180187
Cu,A_U,1e-42,200,20.247915459792424
Cu,A_U,1e-42,300,20.83238185109914
Cu,A_U,1e-42,400,21.048362149577205
Cu,A_U,1e-42,500,21.150479979180187
TiN,L_eff,1e-09,200,0.818879701461765
TiN,L_eff,1e-09,300,0.9646045365705582
TiN,L_eff,1e-09,400,1.0258412256907414
TiN,L_eff,1e-09,500,1.056359145651629
TiN,L_eff,1.584893192461111e-09,200,1.0475257914640927
TiN,L_eff,1.584893192461111e-09,300,1.2193170901797217
TiN,L_eff,1.584893192461111e-09,400,1.2909906467188619
TiN,L_eff,1.584893192461111e-09,500,1.3266085531513814
TiN,L_eff,2.511886431509582e-09,200,1.313185939962878
TiN,L_eff,2.511886431509582e-09,300,1.5105424810007977
TiN,L_eff,2.511886431509582e-09,400,1.5923012803680356
TiN,L_eff,2.511886431509582e-09,500,1.632817729389089
