G_pp_W_m2K,G_ep_int_W_m2K,G_ep_bulk_W_m3K,kappa_e_W_mK,kappa_p_W_mK,G_total_W_m2K,G_e_channel_W_m2K,G_p_channel_W_m2K,electron_channel_fraction,phonon_channel_fraction,l_ep_m,R_e_m_m2K_W,R_p_m_m2K_W,R_ep_m2K_W,R_pp_m2K_W
15848931.924611142,1000000000.0,1e+17,350.0,20.0,977865173.2122732,962187128.6929637,15678044.519309495,0.9839670693375782,0.016032930662421837,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,6.30957344480193e-08
19952623.149688788,1000000000.0,1e+17,350.0,20.0,981869667.5793027,962187128.6929637,19682538.886338975,0.9799540208479357,0.02004597915206427,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,5.011872336272725e-08
25118864.315095823,1000000000.0,1e+17,350.0,20.0,986879433.3408957,962187128.6929637,24692304.647931956,0.9749794110468584,0.0250205889531417,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,3.981071705534969e-08
31622776.60168379,1000000000.0,1e+17,350.0,20.0,993136813.3536086,962187128.6929637,30949684.660644937,0.968836433969118,0.031163566030882023,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,3.162277660168379e-08
39810717.05534969,1000000000.0,1e+17,350.0,20.0,1000936913.9593073,962187128.6929637,38749785.26634362,0.9612864859653693,0.03871351403463074,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,2.511886431509582e-08
50118723.36272725,1000000000.0,1e+17,350.0,20.0,1010635911.4221759,962187128.6929637,48448782.72921212,0.9520610912578452,0.04793890874215479,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,1.995262314968879e-08
63095734.448019296,1000000000.0,1e+17,350.0,20.0,1022658824.013973,962187128.6929637,60471695.321009226,0.9408681625767862,0.05913183742321376,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,1.5848931924611143e-08
79432823.47242822,1000000000.0,1e+17,350.0,20.0,1037505436.5341284,962187128.6929637,75318307.84116465,0.9274044210382437,0.0725955789617562,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,1.2589254117941661e-08
100000000.0,1000000000.0,1e+17,350.0,20.0,1055752363.9136021,962187128.6929637,93565235.22063844,0.9113757748324631,0.0886242251675369,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,1e-08
125892541.17941661,1000000000.0,1e+17,350.0,20.0,1078048388.5757396,962187128.6929637,115861259.8827759,0.8925268465584874,0.10747315344151263,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,7.943282347242822e-09
