# branch_names=LA,TA,LO,TO; degeneracy=1,2,1,2
# branch	q_real(1/m)	f(THz)	vg(m/s)
1	5.0672715237e+08	0.7184663416	8807.3091390503
1	5.0904097499e+08	0.7217095184	8806.3836100049
1	5.1135479760e+08	0.7249523542	8805.4580809594
1	5.1366862022e+08	0.7281948493	8804.5325519140
1	5.1598244283e+08	0.7314370035	8803.6070228686
1	5.1829626544e+08	0.7346788169	8802.6814938231
1	5.2061008806e+08	0.7379202895	8801.7559647777
1	5.2292391067e+08	0.7411614212	8800.8304357323
1	5.2523773328e+08	0.7444022121	8799.9049066868
1	5.2755155590e+08	0.7476426621	8798.9793776414
1	5.2986537851e+08	0.7508827714	8798.0538485960
1	5.3217920112e+08	0.7541225398	8797.1283195505
1	5.3449302374e+08	0.7573619673	8796.2027905051
1	5.3680684635e+08	0.7606010541	8795.2772614597
1	5.3912066896e+08	0.7638398000	8794.3517324142
1	5.4143449158e+08	0.7670782050	8793.4262033688
1	5.4374831419e+08	0.7703162693	8792.5006743234
1	5.4606213681e+08	0.7735539927	8791.5751452779
1	5.4837595942e+08	0.7767913753	8790.6496162325
1	5.5068978203e+08	0.7800284170	8789.7240871871
1	5.5300360465e+08	0.7832651179	8788.7985581416
1	5.5531742726e+08	0.7865014780	8787.8730290962
1	5.5763124987e+08	0.7897374972	8786.9475000508
1	5.5994507249e+08	0.7929731757	8786.0219710053
1	5.6225889510e+08	0.7962085132	8785.0964419599
1	5.6457271771e+08	0.7994435100	8784.1709129145
1	5.6688654033e+08	0.8026781659	8783.2453838690
1	5.6920036294e+08	0.8059124810	8782.3198548236
1	5.7151418555e+08	0.8091464553	8781.3943257782
1	5.7382800817e+08	0.8123800887	8780.4687967328
1	5.7614183078e+08	0.8156133813	8779.5432676873
1	5.7845565340e+08	0.8188463330	8778.6177386419
1	5.8076947601e+08	0.8220789440	8777.6922095965
1	5.8308329862e+08	0.8253112140	8776.7666805510
1	5.8539712124e+08	0.8285431433	8775.8411515056
1	5.8771094385e+08	0.8317747317	8774.9156224602
1	5.9002476646e+08	0.8350059793	8773.9900934147
1	5.9233858908e+08	0.8382368861	8773.0645643693
1	5.9465241169e+08	0.8414674520	8772.1390353239
1	5.9696623430e+08	0.8446976772	8771.2135062784
1	5.9928005692e+08	0.8479275614	8770.2879772330
1	6.0159387953e+08	0.8511571049	8769.3624481876
1	6.0390770214e+08	0.8543863075	8768.4369191421
1	6.0622152476e+08	0.8576151693	8767.5113900967
1	6.0853534737e+08	0.8608436902	8766.5858610513
1	6.1084916999e+08	0.8640718703	8765.6603320058
1	6.1316299260e+08	0.8672997096	8764.7348029604
1	6.1547681521e+08	0.8705272080	8763.8092739150
1	6.1779063783e+08	0.8737543657	8762.8837448695
1	6.2010446044e+08	0.8769811824	8761.9582158241
1	6.2241828305e+08	0.8802076584	8761.0326867787
1	6.2473210567e+08	0.8834337935	8760.1071577332
1	6.2704592828e+08	0.8866595878	8759.1816286878
1	6.2935975089e+08	0.8898850413	8758.2560996424
1	6.3167357351e+08	0.8931101539	8757.3305705969
1	6.3398739612e+08	0.8963349257	8756.4050415515
1	6.3630121873e+08	0.8995593566	8755.4795125061
1	6.3861504135e+08	0.9027834468	8754.5539834606
1	6.4092886396e+08	0.9060071961	8753.6284544152
1	6.4324268658e+08	0.9092306045	8752.7029253698
1	6.4555650919e+08	0.9124536722	8751.7773963243
1	6.4787033180e+08	0.9156763990	8750.8518672789
1	6.5018415442e+08	0.9188987849	8749.9263382335
1	6.5249797703e+08	0.9221208301	8749.0008091880
1	6.5481179964e+08	0.9253425344	8748.0752801426
1	6.5712562226e+08	0.9285638979	8747.1497510972
1	6.5943944487e+08	0.9317849205	8746.2242220518
1	6.6175326748e+08	0.9350056023	8745.2986930063
1	6.6406709010e+08	0.9382259433	8744.3731639609
1	6.6638091271e+08	0.9414459434	8743.4476349155
1	6.6869473532e+08	0.9446656028	8742.5221058700
1	6.7100855794e+08	0.9478849212	8741.5965768246
1	6.7332238055e+08	0.9511038989	8740.6710477792
1	6.7563620317e+08	0.9543225357	8739.7455187337
1	6.7795002578e+08	0.9575408317	8738.8199896883
1	6.8026384839e+08	0.9607587869	8737.8944606429
1	6.8257767101e+08	0.9639764012	8736.9689315974
1	6.8489149362e+08	0.9671936747	8736.0434025520
1	6.8720531623e+08	0.9704106073	8735.1178735066
1	6.8951913885e+08	0.9736271992	8734.1923444611
1	6.9183296146e+08	0.9768434502	8733.2668154157
1	6.9414678407e+08	0.9800593603	8732.3412863703
1	6.9646060669e+08	0.9832749297	8731.4157573248
1	6.9877442930e+08	0.9864901582	8730.4902282794
1	7.0108825192e+08	0.9897050458	8729.5646992340
1	7.0340207453e+08	0.9929195927	8728.6391701885
1	7.0571589714e+08	0.9961337987	8727.7136411431
1	7.0802971976e+08	0.9993476638	8726.7881120977
1	7.1034354237e+08	1.0025611882	8725.8625830522
1	7.1265736498e+08	1.0057743717	8724.9370540068
1	7.1497118760e+08	1.0089872144	8724.0115249614
1	7.1728501021e+08	1.0121997162	8723.0859959159
1	7.1959883282e+08	1.0154118772	8722.1604668705
1	7.2191265544e+08	1.0186236974	8721.2349378251
1	7.2422647805e+08	1.0218351768	8720.3094087796
1	7.2654030066e+08	1.0250463153	8719.3838797342
1	7.2885412328e+08	1.0282571130	8718.4583506888
1	7.3116794589e+08	1.0314675698	8717.5328216433
1	7.3348176851e+08	1.0346776858	8716.6072925979
1	7.3579559112e+08	1.0378874610	8715.6817635525
1	7.3810941373e+08	1.0410968954	8714.7562345070
1	7.4042323635e+08	1.0443059889	8713.8307054616
1	7.4273705896e+08	1.0475147416	8712.9051764162
1	7.4505088157e+08	1.0507231535	8711.9796473707
1	7.4736470419e+08	1.0539312245	8711.0541183253
1	7.4967852680e+08	1.0571389547	8710.1285892799
1	7.5199234941e+08	1.0603463441	8709.2030602345
1	7.5430617203e+08	1.0635533926	8708.2775311890
1	7.5661999464e+08	1.0667601003	8707.3520021436
1	7.5893381725e+08	1.0699664672	8706.4264730982
1	7.6124763987e+08	1.0731724932	8705.5009440527
1	7.6356146248e+08	1.0763781784	8704.5754150073
1	7.6587528510e+08	1.0795835228	8703.6498859619
1	7.6818910771e+08	1.0827885263	8702.7243569164
1	7.7050293032e+08	1.0859931890	8701.7988278710
1	7.7281675294e+08	1.0891975109	8700.8732988256
1	7.7513057555e+08	1.0924014920	8699.9477697801
1	7.7744439816e+08	1.0956051322	8699.0222407347
1	7.7975822078e+08	1.0988084316	8698.0967116893
1	7.8207204339e+08	1.1020113901	8697.1711826438
1	7.8438586600e+08	1.1052140078	8696.2456535984
1	7.8669968862e+08	1.1084162847	8695.3201245530
1	7.8901351123e+08	1.1116182208	8694.3945955075
1	7.9132733384e+08	1.1148198160	8693.4690664621
1	7.9364115646e+08	1.1180210704	8692.5435374167
1	7.9595497907e+08	1.1212219840	8691.6180083712
1	7.9826880169e+08	1.1244225567	8690.6924793258
1	8.0058262430e+08	1.1276227886	8689.7669502804
1	8.0289644691e+08	1.1308226796	8688.8414212349
1	8.0521026953e+08	1.1340222299	8687.9158921895
1	8.0752409214e+08	1.1372214393	8686.9903631441
1	8.0983791475e+08	1.1404203079	8686.0648340986
1	8.1215173737e+08	1.1436188356	8685.1393050532
1	8.1446555998e+08	1.1468170225	8684.2137760078
1	8.1677938259e+08	1.1500148686	8683.2882469623
1	8.1909320521e+08	1.1532123738	8682.3627179169
1	8.2140702782e+08	1.1564095382	8681.4371888715
1	8.2372085043e+08	1.1596063618	8680.5116598260
1	8.2603467305e+08	1.1628028445	8679.5861307806
1	8.2834849566e+08	1.1659989865	8678.6606017352
1	8.3066231828e+08	1.1691947875	8677.7350726897
1	8.3297614089e+08	1.1723902478	8676.8095436443
1	8.3528996350e+08	1.1755853672	8675.8840145989
1	8.3760378612e+08	1.1787801458	8674.9584855535
1	8.3991760873e+08	1.1819745835	8674.0329565080
1	8.4223143134e+08	1.1851686805	8673.1074274626
1	8.4454525396e+08	1.1883624366	8672.1818984172
1	8.4685907657e+08	1.1915558518	8671.2563693717
1	8.4917289918e+08	1.1947489262	8670.3308403263
1	8.5148672180e+08	1.1979416598	8669.4053112809
1	8.5380054441e+08	1.2011340526	8668.4797822354
1	8.5611436703e+08	1.2043261045	8667.5542531900
1	8.5842818964e+08	1.2075178156	8666.6287241446
1	8.6074201225e+08	1.2107091859	8665.7031950991
1	8.6305583487e+08	1.2139002153	8664.7776660537
1	8.6536965748e+08	1.2170909039	8663.8521370083
1	8.6768348009e+08	1.2202812517	8662.9266079628
1	8.6999730271e+08	1.2234712586	8662.0010789174
1	8.7231112532e+08	1.2266609247	8661.0755498720
1	8.7462494793e+08	1.2298502500	8660.1500208265
1	8.7693877055e+08	1.2330392345	8659.2244917811
1	8.7925259316e+08	1.2362278781	8658.2989627357
1	8.8156641577e+08	1.2394161809	8657.3734336902
1	8.8388023839e+08	1.2426041428	8656.4479046448
1	8.8619406100e+08	1.2457917639	8655.5223755994
1	8.8850788362e+08	1.2489790442	8654.5968465539
1	8.9082170623e+08	1.2521659837	8653.6713175085
1	8.9313552884e+08	1.2553525823	8652.7457884631
1	8.9544935146e+08	1.2585388401	8651.8202594176
1	8.9776317407e+08	1.2617247570	8650.8947303722
1	9.0007699668e+08	1.2649103331	8649.9692013268
1	9.0239081930e+08	1.2680955684	8649.0436722813
1	9.0470464191e+08	1.2712804629	8648.1181432359
1	9.0701846452e+08	1.2744650165	8647.1926141905
1	9.0933228714e+08	1.2776492293	8646.2670851450
1	9.1164610975e+08	1.2808331013	8645.3415560996
1	9.1395993236e+08	1.2840166324	8644.4160270542
1	9.1627375498e+08	1.2871998227	8643.4904980087
1	9.1858757759e+08	1.2903826722	8642.5649689633
1	9.2090140021e+08	1.2935651808	8641.6394399179
1	9.2321522282e+08	1.2967473486	8640.7139108724
1	9.2552904543e+08	1.2999291756	8639.7883818270
1	9.2784286805e+08	1.3031106618	8638.8628527816
1	9.3015669066e+08	1.3062918071	8637.9373237362
1	9.3247051327e+08	1.3094726115	8637.0117946907
1	9.3478433589e+08	1.3126530752	8636.0862656453
1	9.3709815850e+08	1.3158331980	8635.1607365999
1	9.3941198111e+08	1.3190129800	8634.2352075544
1	9.4172580373e+08	1.3221924211	8633.3096785090
1	9.4403962634e+08	1.3253715214	8632.3841494636
1	9.4635344895e+08	1.3285502809	8631.4586204181
1	9.4866727157e+08	1.3317286996	8630.5330913727
1	9.5098109418e+08	1.3349067774	8629.6075623273
1	9.5329491680e+08	1.3380845144	8628.6820332818
1	9.5560873941e+08	1.3412619106	8627.7565042364
1	9.5792256202e+08	1.3444389659	8626.8309751910
1	9.6023638464e+08	1.3476156804	8625.9054461455
1	9.6255020725e+08	1.3507920540	8624.9799171001
1	9.6486402986e+08	1.3539680869	8624.0543880547
1	9.6717785248e+08	1.3571437789	8623.1288590092
1	9.6949167509e+08	1.3603191300	8622.2033299638
1	9.7180549770e+08	1.3634941404	8621.2778009184
1	9.7411932032e+08	1.3666688099	8620.3522718729
1	9.7643314293e+08	1.3698431386	8619.4267428275
1	9.7874696554e+08	1.3730171264	8618.5012137821
1	9.8106078816e+08	1.3761907734	8617.5756847366
1	9.8337461077e+08	1.3793640796	8616.6501556912
1	9.8568843339e+08	1.3825370449	8615.7246266458
1	9.8800225600e+08	1.3857096694	8614.7990976003
1	9.9031607861e+08	1.3888819531	8613.8735685549
1	9.9262990123e+08	1.3920538960	8612.9480395095
1	9.9494372384e+08	1.3952254980	8612.0225104640
1	9.9725754645e+08	1.3983967592	8611.0969814186
1	9.9957136907e+08	1.4015676795	8610.1714523732
1	1.0018851917e+09	1.4047382590	8609.2459233277
1	1.0041990143e+09	1.4079084977	8608.3203942823
1	1.0065128369e+09	1.4110783956	8607.3948652369
1	1.0088266595e+09	1.4142479526	8606.4693361914
1	1.0111404821e+09	1.4174171688	8605.5438071460
1	1.0134543047e+09	1.4205860442	8604.6182781006
1	1.0157681274e+09	1.4237545787	8603.6927490552
