idxcell,idycell,idzcell,Tinit
2,34,2,331.352026781625
3,34,2,332.94113583650005
4,34,2,332.9469486235
5,34,2,331.37726713862503
6,34,2,328.228769297625
7,34,2,326.2641510075
1,35,2,330.17853446275
2,35,2,331.369669082125
3,35,2,332.949830920125
4,35,2,332.97658848025003
5,35,2,331.44594672075
6,35,2,328.32752890637505
7,35,2,326.377483193
1,36,2,330.1961285625
2,36,2,331.394396755625
3,36,2,332.9967702585
4,36,2,333.044748514125
5,36,2,331.533091550125
6,36,2,328.46255744462496
7,36,2,326.54755324900003
1,37,2,330.207717344
2,37,2,331.427092082625
3,37,2,333.08160278987503
4,37,2,333.158624428375
5,37,2,331.64845123475
6,37,2,328.65105636500004
7,37,2,326.80572035875
1,38,2,330.21406892150003
2,38,2,331.44619370000004
3,38,2,333.1387421425
4,38,2,333.262442405125
5,38,2,331.776372434375
6,38,2,328.73425219825
7,38,2,326.8414785315
1,39,2,330.21435292075
2,39,2,331.47566752150004
3,39,2,333.217118304375
4,39,2,333.374716684875
5,39,2,331.91626812112503
6,39,2,328.7794080882501
7,39,2,326.7784588175
1,40,2,330.20777441625
2,40,2,331.50244557275
3,40,2,333.3137794625
4,40,2,333.51782925337506
5,40,2,332.06101205424994
6,40,2,328.88787719149997
7,40,2,326.8589465855
1,41,2,330.194341654
2,41,2,331.515175248875
3,41,2,333.400198183625
4,41,2,333.679205315875
5,41,2,332.221004414125
6,41,2,328.985622898
7,41,2,326.923260076
1,42,2,330.17376480125
2,42,2,331.526689749625
3,42,2,333.476130637375
4,42,2,333.810153935375
5,42,2,332.37508970575
6,42,2,329.08318105750004
7,42,2,326.9638439975
1,43,2,330.14683161849996
2,43,2,331.53245506187494
3,43,2,333.54534652975
4,43,2,333.933768053875
5,43,2,332.50312154262497
6,43,2,329.14306601525
7,43,2,326.97481049875
1,44,2,330.11358967474996
2,44,2,331.52190396350005
3,44,2,333.6052076603751
4,44,2,334.04448357687494
5,44,2,332.60254576975
6,44,2,329.169719121625
7,44,2,326.943116789
1,45,2,330.07301286675
2,45,2,331.50579930212496
3,45,2,333.64586091599995
4,45,2,334.11330485187494
5,45,2,332.657892145
6,45,2,329.14744063175
7,45,2,326.85257058275
1,46,2,330.0248299035
2,46,2,331.478302113625
3,46,2,333.654368363
4,46,2,334.14423284087496
5,46,2,332.65442564675004
