idxcell,idycell,idzcell,Tinit
5,71,1,321.70194684575006
6,71,1,319.8938462535
7,71,1,318.9885347245
1,72,1,327.891845349
2,72,1,327.018038509
3,72,1,325.26078463650003
4,72,1,323.48329758725004
5,72,1,321.68869677675
6,72,1,319.885116102
7,72,1,318.982096221
1,73,1,327.8702620255
2,73,1,326.9975370645
3,73,1,325.24199945025
4,73,1,323.46733928699996
5,73,1,321.6770865825
6,73,1,319.87782714425
7,73,1,318.97697290049996
1,74,1,327.854008401
2,74,1,326.98276650524997
3,74,1,325.22900808725
4,74,1,323.45561925775
5,74,1,321.66766948775
6,74,1,319.87186282775
7,74,1,318.9731336305
1,75,1,327.84322310100004
2,75,1,326.97375331424996
3,75,1,325.2229131045
4,75,1,323.45012542725
5,75,1,321.66212033
6,75,1,319.86805987325
7,75,1,318.9705872595
1,76,1,327.8380386805
2,76,1,326.9703707855
3,76,1,325.22292836325
4,76,1,323.449717467
5,76,1,321.660317462
6,76,1,319.86683743175
7,76,1,318.9693210375
1,77,1,327.836813542
2,77,1,326.96990994
3,77,1,325.224134811
4,77,1,323.45037072549997
5,77,1,321.66010723
6,77,1,319.8668696175
7,77,1,318.969002942
1,1,2,327.982937479
2,1,2,327.12226542325
3,1,2,325.39216491
4,1,2,323.64104194124997
5,1,2,321.87323060675
6,1,2,320.100782209
7,1,2,319.2144506345
1,2,2,327.9844894465
2,2,2,327.124085415125
3,2,2,325.39406711025003
4,2,2,323.64209396775004
5,2,2,321.87320850387505
6,2,2,320.10074353675003
7,2,2,319.21480516450004
1,3,2,327.99056926175
2,3,2,327.13059924799995
3,3,2,325.40022682312497
4,3,2,323.645817987375
5,3,2,321.87436616275005
6,3,2,320.10154347925
7,3,2,319.21616619575
1,4,2,328.0022619965
2,4,2,327.141902538
3,4,2,325.40982678775003
4,4,2,323.65230170687505
5,4,2,321.87872438600004
6,4,2,320.10489492325
7,4,2,319.21883399225
1,5,2,328.01908156950003
2,5,2,327.157428195625
3,5,2,325.422332970625
4,5,2,323.662255145
5,5,2,321.88784679675
6,5,2,320.111439628375
7,5,2,319.22280483375
1,6,2,328.04103119875003
2,6,2,327.178188330375
3,6,2,325.440015716375
4,6,2,323.67793976675
5,6,2,321.9020854665
6,6,2,320.120526931
7,6,2,319.22807649175
1,7,2,328.0685191635
2,7,2,327.20578209999996
3,7,2,325.46669586125
4,7,2,323.702540758
5,7,2,321.922201711375
6,7,2,320.132187993125
7,7,2,319.2347073935
1,8,2,328.10175341524996
2,8,2,327.2410737985
3,8,2,325.50491777412503
4,8,2,323.73948255412495
5,8,2,321.95089905925
6,8,2,320.14750358512504
7,8,2,319.2427327935
1,9,2,328.14065530475
2,9,2,327.283588809875
3,9,2,325.55322200262503
4,9,2,323.787549749
5,9,2,321.98892689049995
6,9,2,320.1674212865
7,9,2,319.25216659975
1,10,2,328.1850788255
2,10,2,327.334064223625
3,10,2,325.61236102662497
4,10,2,323.84637628925
5,10,2,322.036024289625
6,10,2,320.19200985225
7,10,2,319.26305127225004
1,11,2,328.2350028935
2,11,2,327.39312661125
3,11,2,325.68492228175
4,11,2,323.92021202337503
5,11,2,322.094674121625
6,11,2,320.221460502375
7,11,2,319.27540257375
1,12,2,328.29069366600004
2,12,2,327.462133009625
3,12,2,325.7732512845
4,12,2,324.011548908
5,12,2,322.16759471425
6,12,2,320.25715165125
7,12,2,319.28928147425
1,13,2,328.35238177900004
2,13,2,327.543801664
3,13,2,325.882989433125
4,13,2,324.12552955850003
5,13,2,322.259530917375
6,13,2,320.30176352574995
7,13,2,319.30476701649997
1,14,2,328.42021678125
2,14,2,327.6405541075
3,14,2,326.02216106775
4,14,2,324.2731671525
5,14,2,322.37867043625
6,14,2,320.358168997625
7,14,2,319.32190072599997
1,15,2,328.49445968725
2,15,2,327.756786765125
3,15,2,326.200331121875
4,15,2,324.46446127125
5,15,2,322.52917901675
6,15,2,320.425876681
7,15,2,319.34076947024994
1,16,2,328.57550847075
2,16,2,327.8957983363749
3,16,2,326.427006058125
4,16,2,324.710682510125
5,16,2,322.72383749499994
6,16,2,320.512888655875
7,16,2,319.36154342775
1,17,2,328.66376819749996
2,17,2,328.06175156225
3,17,2,326.710336497
4,17,2,325.026725974125
5,17,2,322.983133676375
6,17,2,320.629097841625
7,17,2,319.38444221174996
1,18,2,328.759461068
2,18,2,328.268513433375
3,18,2,327.0751134535
4,18,2,325.43294445000004
5,18,2,323.31491452637505
6,18,2,320.773151008
7,18,2,319.409700755
1,19,2,328.86290711925005
2,19,2,328.522430883125
3,19,2,327.5409752905
4,19,2,325.94935559799995
5,19,2,323.737433352625
6,19,2,320.956928184875
7,19,2,319.4377049265
1,20,2,328.97483077124997
2,20,2,328.82938753675
3,20,2,328.12919625924997
4,20,2,326.60519469762505
5,20,2,324.26986410325003
6,20,2,321.18638651475
7,20,2,319.46898600199995
1,21,2,329.0961947265
2,21,2,329.21630168362503
3,21,2,328.871900522875
4,21,2,327.41380795775
5,21,2,324.92575998350003
6,21,2,321.4677263425
7,21,2,319.5041562285
1,22,2,329.22877663500003
2,22,2,329.697529723875
3,22,2,329.789395531625
4,22,2,328.39084543687505
5,22,2,325.750338551875
6,22,2,321.838051219875
7,22,2,319.54460795925
1,23,2,329.538600902
2,23,2,330.3212128375
3,23,2,330.80490209237496
4,23,2,329.47198966950003
5,23,2,326.701470864125
6,23,2,322.280728772
7,23,2,319.596515743
1,24,2,329.690437551
2,24,2,330.81656540150004
3,24,2,331.72366205012503
4,24,2,330.50918771199997
5,24,2,327.74084917850007
6,24,2,323.10322596699996
7,24,2,320.23849815275
1,25,2,329.647483074
2,25,2,331.021488989125
3,25,2,332.342581570625
4,25,2,331.382411816
5,25,2,328.7752971384999
6,25,2,324.408557357
7,25,2,321.74167583200006
1,26,2,329.73191518025004
2,26,2,331.12167420637496
3,26,2,332.641721522375
4,26,2,332.019696266375
5,26,2,329.67395413725
6,26,2,325.63000954550006
7,26,2,323.179493537
1,27,2,329.806432435
2,27,2,331.16480792162497
3,27,2,332.785418381625
4,27,2,332.444830870625
5,27,2,330.3614261285
6,27,2,326.493796675625
7,27,2,324.1067494805
1,28,2,329.87470502350004
2,28,2,331.190523650625
3,28,2,332.87132071300005
4,28,2,332.714438106875
5,28,2,330.80094471475
6,28,2,327.085108187125
7,28,2,324.76090401025
1,29,2,329.99987808599997
2,29,2,331.2486365275
3,29,2,332.91004631487505
4,29,2,332.846259345125
5,29,2,331.04170016300003
6,29,2,327.53007113825004
7,29,2,325.34656298
