idxcell,idycell,idzcell,x_center_um,y_center_um,z_center_um,region_type,temperature_K,cell_volume_um3
7,15,1,0.025,0.037,0.005,X+,319.3407739235,2.0000000000000015e-07
1,16,1,0.005,0.039,0.005,X-,328.5755950105,2.000000000000002e-07
2,16,1,0.011,0.039,0.005,Z-,327.89323898299995,4.000000000000004e-08
3,16,1,0.013000000000000001,0.039,0.005,Z-,326.41598155075,4.000000000000004e-08
4,16,1,0.015,0.039,0.005,Z-,324.6975850775,4.000000000000004e-08
5,16,1,0.017,0.039,0.005,Z-,322.719067551,4e-08
6,16,1,0.019,0.039,0.005,Z-,320.51279112475004,4.0000000000000074e-08
7,16,1,0.025,0.039,0.005,X+,319.3615371565,2.0000000000000015e-07
1,17,1,0.005,0.041,0.005,X-,328.66402349,2.000000000000002e-07
2,17,1,0.011,0.041,0.005,Z-,328.06031796475,4.000000000000004e-08
3,17,1,0.013000000000000001,0.041,0.005,Z-,326.70115517600004,4.000000000000004e-08
4,17,1,0.015,0.041,0.005,Z-,325.01443980224997,4.000000000000004e-08
5,17,1,0.017,0.041,0.005,Z-,322.97501298525003,4e-08
6,17,1,0.019,0.041,0.005,Z-,320.62562726125,4.0000000000000074e-08
7,17,1,0.025,0.041,0.005,X+,319.384410244,2.0000000000000015e-07
1,18,1,0.005,0.043,0.005,X-,328.75995871500004,1.999999999999995e-07
2,18,1,0.011,0.043,0.005,Z-,328.26376484750006,3.9999999999999895e-08
3,18,1,0.013000000000000001,0.043,0.005,Z-,327.0630365435,3.9999999999999895e-08
4,18,1,0.015,0.043,0.005,Z-,325.41902629099997,3.9999999999999895e-08
5,18,1,0.017,0.043,0.005,Z-,323.304055795,3.999999999999986e-08
6,18,1,0.019,0.043,0.005,Z-,320.7691077105,3.999999999999993e-08
7,18,1,0.025,0.043,0.005,X+,319.409654306,1.9999999999999944e-07
1,19,1,0.005,0.045,0.005,X-,328.8637789905,2.000000000000002e-07
2,19,1,0.011,0.045,0.005,Z-,328.5140871475,4.000000000000004e-08
3,19,1,0.013000000000000001,0.045,0.005,Z-,327.52518294950005,4.000000000000004e-08
4,19,1,0.015,0.045,0.005,Z-,325.93482234,4.000000000000004e-08
5,19,1,0.017,0.045,0.005,Z-,323.72370920825,4e-08
6,19,1,0.019,0.045,0.005,Z-,320.9507180795,4.0000000000000074e-08
7,19,1,0.025,0.045,0.005,X+,319.43769182799997,2.0000000000000015e-07
1,20,1,0.005,0.047,0.005,X-,328.976063774,2.000000000000002e-07
2,20,1,0.011,0.047,0.005,Z-,328.8248643675,4.000000000000004e-08
3,20,1,0.013000000000000001,0.047,0.005,Z-,328.11622070450005,4.000000000000004e-08
4,20,1,0.015,0.047,0.005,Z-,326.5890915315,4.000000000000004e-08
5,20,1,0.017,0.047,0.005,Z-,324.25332708950003,4e-08
6,20,1,0.019,0.047,0.005,Z-,321.1781551135,4.0000000000000074e-08
7,20,1,0.025,0.047,0.005,X+,319.469062663,2.0000000000000015e-07
1,21,1,0.005,0.049,0.005,X-,329.097671338,2.000000000000002e-07
2,21,1,0.011,0.049,0.005,Z-,329.21242339025,4.000000000000004e-08
3,21,1,0.013000000000000001,0.049,0.005,Z-,328.8579539675,4.000000000000004e-08
4,21,1,0.015,0.049,0.005,Z-,327.396420349,4.000000000000004e-08
5,21,1,0.017,0.049,0.005,Z-,324.92215578525,4e-08
6,21,1,0.019,0.049,0.005,Z-,321.47230035525,4.0000000000000074e-08
7,21,1,0.025,0.049,0.005,X+,319.5043973455,2.0000000000000015e-07
1,22,1,0.005,0.051000000000000004,0.005,X-,329.230505117,1.999999999999995e-07
2,22,1,0.011,0.051000000000000004,0.005,Z-,329.68076278025,3.9999999999999895e-08
3,22,1,0.013000000000000001,0.051000000000000004,0.005,Z-,329.7589918155,3.9999999999999895e-08
4,22,1,0.015,0.051000000000000004,0.005,Z-,328.37659170725,3.9999999999999895e-08
5,22,1,0.017,0.051000000000000004,0.005,Z-,325.74823910774995,3.999999999999986e-08
6,22,1,0.019,0.051000000000000004,0.005,Z-,321.837646587,3.999999999999993e-08
7,22,1,0.025,0.051000000000000004,0.005,X+,319.5450351855,1.9999999999999944e-07
1,23,1,0.005,0.053,0.005,X-,329.381794241,2.000000000000002e-07
2,23,1,0.011,0.053,0.005,Z-,330.23813779299996,4.000000000000004e-08
3,23,1,0.013000000000000001,0.053,0.005,Z-,330.784962899,4.000000000000004e-08
4,23,1,0.015,0.053,0.005,Z-,329.449592218,4.000000000000004e-08
5,23,1,0.017,0.053,0.005,Z-,326.69537060174997,4e-08
6,23,1,0.019,0.053,0.005,Z-,322.282247042,4.0000000000000074e-08
7,23,1,0.025,0.053,0.005,X+,319.5974928635,2.0000000000000015e-07
1,24,1,0.005,0.055,0.005,X-,329.53429051750004,2.000000000000002e-07
2,24,1,0.011,0.055,0.005,Z-,330.751251523,4.000000000000004e-08
3,24,1,0.013000000000000001,0.055,0.005,Z-,331.72406475975004,4.000000000000004e-08
4,24,1,0.015,0.055,0.005,Z-,330.47823693500004,4.000000000000004e-08
5,24,1,0.017,0.055,0.005,Z-,327.72567115975,4e-08
6,24,1,0.019,0.055,0.005,Z-,323.09947482625,4.0000000000000074e-08
7,24,1,0.025,0.055,0.005,X+,320.224164212,2.0000000000000015e-07
1,25,1,0.005,0.057,0.005,X-,329.6503269395,2.000000000000002e-07
2,25,1,0.011,0.057,0.005,Z-,331.025904213,4.000000000000004e-08
3,25,1,0.013000000000000001,0.057,0.005,Z-,332.34955193425,4.000000000000004e-08
4,25,1,0.015,0.057,0.005,Z-,331.38201037399995,4.000000000000004e-08
5,25,1,0.017,0.057,0.005,Z-,328.7665167165,4e-08
6,25,1,0.019,0.057,0.005,Z-,324.392748892,4.0000000000000074e-08
7,25,1,0.025,0.057,0.005,X+,321.718862717,2.0000000000000015e-07
1,26,1,0.005,0.059,0.005,X-,329.73385736700004,1.999999999999995e-07
2,26,1,0.011,0.059,0.005,Z-,331.11500294075,3.9999999999999895e-08
3,26,1,0.013000000000000001,0.059,0.005,Z-,332.6397749895,3.9999999999999895e-08
4,26,1,0.015,0.059,0.005,Z-,332.0136043265,3.9999999999999895e-08
5,26,1,0.017,0.059,0.005,Z-,329.66304274125,3.999999999999986e-08
6,26,1,0.019,0.059,0.005,Z-,325.62358414274996,3.999999999999993e-08
7,26,1,0.025,0.059,0.005,X+,323.1648899915,1.9999999999999944e-07
1,27,1,0.005,0.061,0.005,X-,329.807665778,2.000000000000002e-07
2,27,1,0.011,0.061,0.005,Z-,331.15163351375,4.000000000000004e-08
3,27,1,0.013000000000000001,0.061,0.005,Z-,332.760778288,4.000000000000004e-08
4,27,1,0.015,0.061,0.005,Z-,332.4101654945,4.000000000000004e-08
5,27,1,0.017,0.061,0.005,Z-,330.3389026815,4e-08
6,27,1,0.019,0.061,0.005,Z-,326.49129310825003,4.0000000000000074e-08
7,27,1,0.025,0.061,0.005,X+,324.099156516,2.0000000000000015e-07
1,28,1,0.005,0.063,0.005,X-,329.875787696,2.000000000000002e-07
2,28,1,0.011,0.063,0.005,Z-,331.182110782,4.000000000000004e-08
3,28,1,0.013000000000000001,0.063,0.005,Z-,332.84172295049996,4.000000000000004e-08
4,28,1,0.015,0.063,0.005,Z-,332.6799506915,4.000000000000004e-08
5,28,1,0.017,0.063,0.005,Z-,330.794515833,4e-08
6,28,1,0.019,0.063,0.005,Z-,327.09240686225,4.0000000000000074e-08
7,28,1,0.025,0.063,0.005,X+,324.7606714085,2.0000000000000015e-07
1,29,1,0.005,0.065,0.005,X-,330.0638684265,2.000000000000002e-07
2,29,1,0.011,0.065,0.005,Z-,331.27965523225,4.000000000000004e-08
3,29,1,0.013000000000000001,0.065,0.005,Z-,332.88493531325,4.000000000000004e-08
4,29,1,0.015,0.065,0.005,Z-,332.82163694325,4.000000000000004e-08
5,29,1,0.017,0.065,0.005,Z-,331.06279067649996,4e-08
6,29,1,0.019,0.065,0.005,Z-,327.611120971,4.0000000000000074e-08
7,29,1,0.025,0.065,0.005,X+,325.465505887,2.0000000000000015e-07
1,30,1,0.005,0.067,0.005,X-,330.49933762399996,2.000000000000002e-07
2,30,1,0.011,0.067,0.005,Z-,331.498792094,4.000000000000004e-08
3,30,1,0.013000000000000001,0.067,0.005,Z-,332.899715137,4.000000000000004e-08
