# Xmin Xmax Ymin Ymax Zmin Zmax P_W_m3
0.01 0.012 0.056 0.058 0.02 0.03 3.24548857984e+17
0.01 0.012 0.056 0.058 0.03 0.04 3.24548857984e+17
0.01 0.012 0.056 0.058 0.04 0.05 3.24548857984e+17
0.01 0.012 0.056 0.058 0.05 0.06 3.24548857984e+17
0.01 0.012 0.056 0.058 0.06 0.07 3.24548857984e+17
0.01 0.012 0.056 0.058 0.07 0.08 3.24548857984e+17
0.01 0.012 0.058 0.06 0.01 0.02 1.95639321012e+17
0.01 0.012 0.058 0.06 0.02 0.03 1.95639321012e+17
0.01 0.012 0.058 0.06 0.03 0.04 1.95639321012e+17
0.01 0.012 0.058 0.06 0.04 0.05 1.95639321012e+17
0.01 0.012 0.058 0.06 0.05 0.06 1.95639321012e+17
0.01 0.012 0.058 0.06 0.06 0.07 1.95639321012e+17
0.01 0.012 0.058 0.06 0.07 0.08 1.95639321012e+17
0.01 0.012 0.06 0.062 0.01 0.02 1.55872388448e+17
0.01 0.012 0.06 0.062 0.02 0.03 1.55872388448e+17
0.01 0.012 0.06 0.062 0.03 0.04 1.55872388448e+17
0.01 0.012 0.06 0.062 0.04 0.05 1.55872388448e+17
0.01 0.012 0.06 0.062 0.05 0.06 1.55872388448e+17
0.01 0.012 0.06 0.062 0.06 0.07 1.55872388448e+17
0.01 0.012 0.06 0.062 0.07 0.08 1.55872388448e+17
0.01 0.012 0.062 0.064 0.01 0.02 1.39916716115e+17
0.01 0.012 0.062 0.064 0.02 0.03 1.39916716115e+17
0.01 0.012 0.062 0.064 0.03 0.04 1.39916716115e+17
0.01 0.012 0.062 0.064 0.04 0.05 1.39916716115e+17
0.01 0.012 0.062 0.064 0.05 0.06 1.39916716115e+17
0.01 0.012 0.062 0.064 0.06 0.07 1.39916716115e+17
0.01 0.012 0.062 0.064 0.07 0.08 1.39916716115e+17
0.01 0.012 0.064 0.066 0.01 0.02 1.33012330605e+17
0.01 0.012 0.064 0.066 0.02 0.03 1.33012330605e+17
0.01 0.012 0.064 0.066 0.03 0.04 1.33012330605e+17
0.01 0.012 0.064 0.066 0.04 0.05 1.33012330605e+17
0.01 0.012 0.064 0.066 0.05 0.06 1.33012330605e+17
0.01 0.012 0.064 0.066 0.06 0.07 1.33012330605e+17
0.01 0.012 0.064 0.066 0.07 0.08 1.33012330605e+17
0.01 0.012 0.066 0.068 0.01 0.02 1.29715095061e+17
0.01 0.012 0.066 0.068 0.02 0.03 1.29715095061e+17
0.01 0.012 0.066 0.068 0.03 0.04 1.29715095061e+17
0.01 0.012 0.066 0.068 0.04 0.05 1.29715095061e+17
0.01 0.012 0.066 0.068 0.05 0.06 1.29715095061e+17
0.01 0.012 0.066 0.068 0.06 0.07 1.29715095061e+17
0.01 0.012 0.066 0.068 0.07 0.08 1.29715095061e+17
0.01 0.012 0.068 0.07 0.01 0.02 1.27973251329e+17
0.01 0.012 0.068 0.07 0.02 0.03 1.27973251329e+17
0.01 0.012 0.068 0.07 0.03 0.04 1.27973251329e+17
0.01 0.012 0.068 0.07 0.04 0.05 1.27973251329e+17
0.01 0.012 0.068 0.07 0.05 0.06 1.27973251329e+17
0.01 0.012 0.068 0.07 0.06 0.07 1.27973251329e+17
0.01 0.012 0.068 0.07 0.07 0.08 1.27973251329e+17
0.01 0.012 0.07 0.072 0.01 0.02 1.26659272009e+17
0.01 0.012 0.07 0.072 0.02 0.03 1.26659272009e+17
0.01 0.012 0.07 0.072 0.03 0.04 1.26659272009e+17
0.01 0.012 0.07 0.072 0.04 0.05 1.26659272009e+17
0.01 0.012 0.07 0.072 0.05 0.06 1.26659272009e+17
0.01 0.012 0.07 0.072 0.06 0.07 1.26659272009e+17
0.01 0.012 0.07 0.072 0.07 0.08 1.26659272009e+17
0.01 0.012 0.072 0.074 0.01 0.02 1.25266589632e+17
0.01 0.012 0.072 0.074 0.02 0.03 1.25266589632e+17
0.01 0.012 0.072 0.074 0.03 0.04 1.25266589632e+17
0.01 0.012 0.072 0.074 0.04 0.05 1.25266589632e+17
0.01 0.012 0.072 0.074 0.05 0.06 1.25266589632e+17
0.01 0.012 0.072 0.074 0.06 0.07 1.25266589632e+17
0.01 0.012 0.072 0.074 0.07 0.08 1.25266589632e+17
0.01 0.012 0.074 0.076 0.01 0.02 1.23573106625e+17
0.01 0.012 0.074 0.076 0.02 0.03 1.23573106625e+17
0.01 0.012 0.074 0.076 0.03 0.04 1.23573106625e+17
0.01 0.012 0.074 0.076 0.04 0.05 1.23573106625e+17
0.01 0.012 0.074 0.076 0.05 0.06 1.23573106625e+17
0.01 0.012 0.074 0.076 0.06 0.07 1.23573106625e+17
0.01 0.012 0.074 0.076 0.07 0.08 1.23573106625e+17
0.01 0.012 0.076 0.078 0.01 0.02 1.214539171e+17
0.01 0.012 0.076 0.078 0.02 0.03 1.214539171e+17
0.01 0.012 0.076 0.078 0.03 0.04 1.214539171e+17
0.01 0.012 0.076 0.078 0.04 0.05 1.214539171e+17
0.01 0.012 0.076 0.078 0.05 0.06 1.214539171e+17
0.01 0.012 0.076 0.078 0.06 0.07 1.214539171e+17
0.01 0.012 0.076 0.078 0.07 0.08 1.214539171e+17
0.01 0.012 0.078 0.08 0.01 0.02 1.18861137363e+17
0.01 0.012 0.078 0.08 0.02 0.03 1.18861137363e+17
0.01 0.012 0.078 0.08 0.03 0.04 1.18861137363e+17
0.01 0.012 0.078 0.08 0.04 0.05 1.18861137363e+17
0.01 0.012 0.078 0.08 0.05 0.06 1.18861137363e+17
0.01 0.012 0.078 0.08 0.06 0.07 1.18861137363e+17
0.01 0.012 0.078 0.08 0.07 0.08 1.18861137363e+17
