# X Y Z T_K
0.014 0.092 0.08 334.100154566
0.014 0.094 0.01 334.187206775
0.014 0.094 0.02 334.267593228
0.014 0.094 0.03 334.297323182
0.014 0.094 0.04 334.29720705
0.014 0.094 0.05 334.341869418
0.014 0.094 0.06 334.304361599
0.014 0.094 0.07 334.264210744
0.014 0.094 0.08 334.200902796
0.014 0.096 0.01 334.279856686
0.014 0.096 0.02 334.386131585
0.014 0.096 0.03 334.377121123
0.014 0.096 0.04 334.329546157
0.014 0.096 0.05 334.403455489
0.014 0.096 0.06 334.358585264
0.014 0.096 0.07 334.345449882
0.014 0.096 0.08 334.275235719
0.014 0.098 0.01 334.327793017
0.014 0.098 0.02 334.41876309
0.014 0.098 0.03 334.407447545
0.014 0.098 0.04 334.411241371
0.014 0.098 0.05 334.468620393
0.014 0.098 0.06 334.404298164
0.014 0.098 0.07 334.401634567
0.014 0.098 0.08 334.321368933
0.014 0.1 0.01 334.326765685
0.014 0.1 0.02 334.434527817
0.014 0.1 0.03 334.406095804
0.014 0.1 0.04 334.393026936
0.014 0.1 0.05 334.43801664
0.014 0.1 0.06 334.395653855
0.014 0.1 0.07 334.400104933
0.014 0.1 0.08 334.320860125
0.014 0.102 0.01 334.284458904
0.014 0.102 0.02 334.441276032
0.014 0.102 0.03 334.416120412
0.014 0.102 0.04 334.37638536
0.014 0.102 0.05 334.317415793
0.014 0.102 0.06 334.398226244
0.014 0.102 0.07 334.415553907
0.014 0.102 0.08 334.277625978
0.014 0.104 0.01 334.190629261
0.014 0.104 0.02 334.272662185
0.014 0.104 0.03 334.218305057
0.014 0.104 0.04 334.294765616
0.014 0.104 0.05 334.219210354
0.014 0.104 0.06 334.149782013
0.014 0.104 0.07 334.204568938
0.014 0.104 0.08 334.173698172
0.014 0.106 0.01 334.010039729
0.014 0.106 0.02 334.094539153
0.014 0.106 0.03 334.100366562
0.014 0.106 0.04 334.106426434
0.014 0.106 0.05 334.083400214
0.014 0.106 0.06 334.11228399
0.014 0.106 0.07 334.151097109
0.014 0.106 0.08 334.002154937
0.014 0.108 0.01 333.765471296
0.014 0.108 0.02 333.872414145
0.014 0.108 0.03 333.894034961
0.014 0.108 0.04 333.885321219
0.014 0.108 0.05 333.865784363
0.014 0.108 0.06 333.750851381
0.014 0.108 0.07 333.831380027
0.014 0.108 0.08 333.744562274
0.014 0.11 0.01 333.364871665
0.014 0.11 0.02 333.410400716
0.014 0.11 0.03 333.487850655
0.014 0.11 0.04 333.49310018
0.014 0.11 0.05 333.502554621
0.014 0.11 0.06 333.49049893
0.014 0.11 0.07 333.477492547
0.014 0.11 0.08 333.349963893
0.014 0.112 0.01 332.923165221
0.014 0.112 0.02 332.943004483
0.014 0.112 0.03 332.997714096
0.014 0.112 0.04 332.964144418
0.014 0.112 0.05 332.953047954
0.014 0.112 0.06 333.001022601
0.014 0.112 0.07 333.008374117
0.014 0.112 0.08 332.920450984
0.014 0.114 0.01 332.1037239
0.014 0.114 0.02 332.173734455
0.014 0.114 0.03 332.083620787
0.014 0.114 0.04 332.201349682
0.014 0.114 0.05 332.186142444
0.014 0.114 0.06 332.182505043
0.014 0.114 0.07 332.196764569
0.014 0.114 0.08 332.087271477
0.014 0.116 0.01 331.061358587
0.014 0.116 0.02 331.085079252
0.014 0.116 0.03 331.076390036
0.014 0.116 0.04 331.017177805
0.014 0.116 0.05 331.094114272
0.014 0.116 0.06 331.102099727
0.014 0.116 0.07 331.153324738
0.014 0.116 0.08 331.046383484
0.014 0.118 0.01 329.877137502
0.014 0.118 0.02 329.857084647
0.014 0.118 0.03 329.812110108
0.014 0.118 0.04 329.86172263
0.014 0.118 0.05 329.872065897
0.014 0.118 0.06 329.852848403
0.014 0.118 0.07 329.89637206
0.014 0.118 0.08 329.845478925
0.014 0.12 0.01 328.606295317
0.014 0.12 0.02 328.592133888
0.014 0.12 0.03 328.590241053
0.014 0.12 0.04 328.688349625
0.014 0.12 0.05 328.717582398
0.014 0.12 0.06 328.693857722
0.014 0.12 0.07 328.592695473
0.014 0.12 0.08 328.579315617
0.014 0.122 0.01 327.630294826
0.014 0.122 0.02 327.672860736
0.014 0.122 0.03 327.630985598
0.014 0.122 0.04 327.625815212
0.014 0.122 0.05 327.694010585
0.014 0.122 0.06 327.689912326
0.014 0.122 0.07 327.651079919
0.014 0.122 0.08 327.6057349
0.014 0.124 0.01 326.849917769
0.014 0.124 0.02 326.876476175
0.014 0.124 0.03 326.848897813
0.014 0.124 0.04 326.841409167
0.014 0.124 0.05 326.874727147
0.014 0.124 0.06 326.891893385
0.014 0.124 0.07 326.863345138
0.014 0.124 0.08 326.824127904
0.014 0.126 0.01 326.255294227
0.014 0.126 0.02 326.268786198
0.014 0.126 0.03 326.266216084
0.014 0.126 0.04 326.248284194
0.014 0.126 0.05 326.26179578
0.014 0.126 0.06 326.271073232
0.014 0.126 0.07 326.250115594
0.014 0.126 0.08 326.227832861
0.014 0.128 0.01 325.800634275
0.014 0.128 0.02 325.792239302
0.014 0.128 0.03 325.805996074
0.014 0.128 0.04 325.787271385
0.014 0.128 0.05 325.810280913
0.014 0.128 0.06 325.813613244
0.014 0.128 0.07 325.80260056
0.014 0.128 0.08 325.779088648
0.014 0.13 0.01 325.461233291
0.014 0.13 0.02 325.463264185
0.014 0.13 0.03 325.465942693
0.014 0.13 0.04 325.453243956
0.014 0.13 0.05 325.480817558
0.014 0.13 0.06 325.457773001
0.014 0.13 0.07 325.462136765
0.014 0.13 0.08 325.440678831
0.014 0.132 0.01 325.209690614
0.014 0.132 0.02 325.196034196
0.014 0.132 0.03 325.213901115
0.014 0.132 0.04 325.192004226
0.014 0.132 0.05 325.221121913
0.014 0.132 0.06 325.202282329
0.014 0.132 0.07 325.192193981
0.014 0.132 0.08 325.179376228
0.014 0.134 0.01 325.012249956
0.014 0.134 0.02 325.013403264
0.014 0.134 0.03 325.009023189
0.014 0.134 0.04 325.005057071
0.014 0.134 0.05 325.018888258
0.014 0.134 0.06 325.00308406
0.014 0.134 0.07 324.987911662
0.014 0.134 0.08 324.981101656
0.014 0.136 0.01 324.858178979
0.014 0.136 0.02 324.863885357
0.014 0.136 0.03 324.865002672
0.014 0.136 0.04 324.853509313
0.014 0.136 0.05 324.856136012
0.014 0.136 0.06 324.853791259
0.014 0.136 0.07 324.838214458
0.014 0.136 0.08 324.829478012
0.014 0.138 0.01 324.734330072
0.014 0.138 0.02 324.739512813
0.014 0.138 0.03 324.742337434
0.014 0.138 0.04 324.732296403
0.014 0.138 0.05 324.740183785
0.014 0.138 0.06 324.735072714
0.014 0.138 0.07 324.724122653
0.014 0.138 0.08 324.710356142
0.014 0.14 0.01 324.636579651
0.014 0.14 0.02 324.644400315
0.014 0.14 0.03 324.634650523
0.014 0.14 0.04 324.636747482
0.014 0.14 0.05 324.644615509
0.014 0.14 0.06 324.635427648
0.014 0.14 0.07 324.630676138
0.014 0.14 0.08 324.618766252
0.014 0.142 0.01 324.55299194
0.014 0.142 0.02 324.572201541
0.014 0.142 0.03 324.550099151
0.014 0.142 0.04 324.563533838
0.014 0.142 0.05 324.572913984
0.014 0.142 0.06 324.55813526
0.014 0.142 0.07 324.555301463
0.014 0.142 0.08 324.54882029
0.014 0.144 0.01 324.486682661
0.014 0.144 0.02 324.510297321
0.014 0.144 0.03 324.484645631
0.014 0.144 0.04 324.502597706
0.014 0.144 0.05 324.513810822
0.014 0.144 0.06 324.500769891
0.014 0.144 0.07 324.496114422
0.014 0.144 0.08 324.494042871
0.014 0.146 0.01 324.438755789
0.014 0.146 0.02 324.457641238
0.014 0.146 0.03 324.435334314
0.014 0.146 0.04 324.460266608
0.014 0.146 0.05 324.469819509
0.014 0.146 0.06 324.453315618
0.014 0.146 0.07 324.447064528
0.014 0.146 0.08 324.452036393
0.014 0.148 0.01 324.40856094
0.014 0.148 0.02 324.417013598
0.014 0.148 0.03 324.405654193
0.014 0.148 0.04 324.417636706
0.014 0.148 0.05 324.427456369
0.014 0.148 0.06 324.415061496
0.014 0.148 0.07 324.411728024
0.014 0.148 0.08 324.420327729
0.014 0.15 0.01 324.387243769
0.014 0.15 0.02 324.388459884
0.014 0.15 0.03 324.384426108
0.014 0.15 0.04 324.378774981
0.014 0.15 0.05 324.392238666
0.014 0.15 0.06 324.38335774
0.014 0.15 0.07 324.384902981
0.014 0.15 0.08 324.393972668
0.014 0.152 0.01 324.367431439
0.014 0.152 0.02 324.365328456
0.014 0.152 0.03 324.365679467
0.014 0.152 0.04 324.34896923
0.014 0.152 0.05 324.363624453
0.014 0.152 0.06 324.356274728
0.014 0.152 0.07 324.366657801
0.014 0.152 0.08 324.371516942
0.014 0.154 0.01 324.350942155
0.014 0.154 0.02 324.348035258
0.014 0.154 0.03 324.346353303
0.014 0.154 0.04 324.329971765
0.014 0.154 0.05 324.338605278
0.014 0.154 0.06 324.340229741
0.014 0.154 0.07 324.35360274
0.014 0.154 0.08 324.356704582
0.014 0.156 0.01 324.342040975
0.014 0.156 0.02 324.331938782
0.014 0.156 0.03 324.33323562
0.014 0.156 0.04 324.317897148
0.014 0.156 0.05 324.320793487
0.014 0.156 0.06 324.329773592
0.014 0.156 0.07 324.343557849
0.014 0.156 0.08 324.34628969
0.014 0.158 0.01 324.341044388
0.014 0.158 0.02 324.3208912
0.014 0.158 0.03 324.325499296
0.014 0.158 0.04 324.30941801
0.014 0.158 0.05 324.310248886
0.014 0.158 0.06 324.323905789
0.014 0.158 0.07 324.337362884
0.014 0.158 0.08 324.338320704
0.014 0.16 0.01 324.345263284
0.014 0.16 0.02 324.315472085
0.014 0.16 0.03 324.320215777
0.014 0.16 0.04 324.306283264
0.014 0.16 0.05 324.305199573
0.014 0.16 0.06 324.319148582
0.014 0.16 0.07 324.333148602
0.014 0.16 0.08 324.338832194
0.016 0.01 0.01 322.772199059
0.016 0.01 0.02 322.746495801
0.016 0.01 0.03 322.741188081
0.016 0.01 0.04 322.734131792
0.016 0.01 0.05 322.773516905
0.016 0.01 0.06 322.746244997
0.016 0.01 0.07 322.747075214
0.016 0.01 0.08 322.735403263
0.016 0.012 0.01 322.769846745
0.016 0.012 0.02 322.75039879
0.016 0.012 0.03 322.741820811
0.016 0.012 0.04 322.736396423
0.016 0.012 0.05 322.776137301
0.016 0.012 0.06 322.750199838
0.016 0.012 0.07 322.749988296
0.016 0.012 0.08 322.737338285
0.016 0.014 0.01 322.770152492
0.016 0.014 0.02 322.756848224
0.016 0.014 0.03 322.748218257
0.016 0.014 0.04 322.745524903
0.016 0.014 0.05 322.78161329
0.016 0.014 0.06 322.759154134
0.016 0.014 0.07 322.757221366
0.016 0.014 0.08 322.745556324
0.016 0.016 0.01 322.776165158
0.016 0.016 0.02 322.762805797
0.016 0.016 0.03 322.760152589
0.016 0.016 0.04 322.759903004
0.016 0.016 0.05 322.791309621
0.016 0.016 0.06 322.771630576
0.016 0.016 0.07 322.76834006
0.016 0.016 0.08 322.757336114
0.016 0.018 0.01 322.788231549
0.016 0.018 0.02 322.775274178
0.016 0.018 0.03 322.772640119
0.016 0.018 0.04 322.781593787
0.016 0.018 0.05 322.80767459
0.016 0.018 0.06 322.788398088
0.016 0.018 0.07 322.784350358
0.016 0.018 0.08 322.774895019
0.016 0.02 0.01 322.809336995
0.016 0.02 0.02 322.791931529
0.016 0.02 0.03 322.793424636
0.016 0.02 0.04 322.809966422
0.016 0.02 0.05 322.829992112
0.016 0.02 0.06 322.812848431
0.016 0.02 0.07 322.805507933
0.016 0.02 0.08 322.799349861
0.016 0.022 0.01 322.841582048
0.016 0.022 0.02 322.816088748
0.016 0.022 0.03 322.822290211
0.016 0.022 0.04 322.840635652
0.016 0.022 0.05 322.861205192
0.016 0.022 0.06 322.846152095
0.016 0.022 0.07 322.834774264
0.016 0.022 0.08 322.831445851
0.016 0.024 0.01 322.880858151
0.016 0.024 0.02 322.85956602
0.016 0.024 0.03 322.857536228
0.016 0.024 0.04 322.880994915
0.016 0.024 0.05 322.896616955
0.016 0.024 0.06 322.883085144
0.016 0.024 0.07 322.870241671
0.016 0.024 0.08 322.870313084
0.016 0.026 0.01 322.927234668
0.016 0.026 0.02 322.913052392
0.016 0.026 0.03 322.907545652
0.016 0.026 0.04 322.928667706
0.016 0.026 0.05 322.943872112
0.016 0.026 0.06 322.929327181
0.016 0.026 0.07 322.918506239
0.016 0.026 0.08 322.918578747
0.016 0.028 0.01 322.987736131
0.016 0.028 0.02 322.976297397
0.016 0.028 0.03 322.970416398
0.016 0.028 0.04 322.995443015
0.016 0.028 0.05 323.000610023
0.016 0.028 0.06 322.990123211
0.016 0.028 0.07 322.979873002
0.016 0.028 0.08 322.979088395
0.016 0.03 0.01 323.062930389
0.016 0.03 0.02 323.060355332
0.016 0.03 0.03 323.051765543
0.016 0.03 0.04 323.075930196
0.016 0.03 0.05 323.078328996
0.016 0.03 0.06 323.062468016
0.016 0.03 0.07 323.058316745
0.016 0.03 0.08 323.055280811
0.016 0.032 0.01 323.154927878
0.016 0.032 0.02 323.162456802
0.016 0.032 0.03 323.161095949
0.016 0.032 0.04 323.173467707
0.016 0.032 0.05 323.170062156
0.016 0.032 0.06 323.164914795
0.016 0.032 0.07 323.156679873
0.016 0.032 0.08 323.153583471
0.016 0.034 0.01 323.273950195
0.016 0.034 0.02 323.289872324
0.016 0.034 0.03 323.288601411
0.016 0.034 0.04 323.302515473
0.016 0.034 0.05 323.288559499
0.016 0.034 0.06 323.289955201
0.016 0.034 0.07 323.273657799
0.016 0.034 0.08 323.280165995
0.016 0.036 0.01 323.432089696
0.016 0.036 0.02 323.455702198
0.016 0.036 0.03 323.454106188
0.016 0.036 0.04 323.465847167
0.016 0.036 0.05 323.445989952
0.016 0.036 0.06 323.461964623
0.016 0.036 0.07 323.442434374
0.016 0.036 0.08 323.442085727
0.016 0.038 0.01 323.639025611
0.016 0.038 0.02 323.662679062
0.016 0.038 0.03 323.661271361
0.016 0.038 0.04 323.671076919
0.016 0.038 0.05 323.659484169
0.016 0.038 0.06 323.676866863
0.016 0.038 0.07 323.648243243
0.016 0.038 0.08 323.651626295
0.016 0.04 0.01 323.909154407
0.016 0.04 0.02 323.922905344
0.016 0.04 0.03 323.939856743
0.016 0.04 0.04 323.935118254
0.016 0.04 0.05 323.926879734
0.016 0.04 0.06 323.955116281
0.016 0.04 0.07 323.924649409
0.016 0.04 0.08 323.918961483
0.016 0.042 0.01 324.257208977
0.016 0.042 0.02 324.280786797
0.016 0.042 0.03 324.27456233
0.016 0.042 0.04 324.304433367
0.016 0.042 0.05 324.276676822
0.016 0.042 0.06 324.275027076
0.016 0.042 0.07 324.271636279
0.016 0.042 0.08 324.258553744
0.016 0.044 0.01 324.701891973
0.016 0.044 0.02 324.73302342
0.016 0.044 0.03 324.732209233
0.016 0.044 0.04 324.734599336
0.016 0.044 0.05 324.718075044
0.016 0.044 0.06 324.760461226
0.016 0.044 0.07 324.720703112
0.016 0.044 0.08 324.695210724
0.016 0.046 0.01 325.265456198
0.016 0.046 0.02 325.294489457
0.016 0.046 0.03 325.292414884
0.016 0.046 0.04 325.32900727
0.016 0.046 0.05 325.297049938
0.016 0.046 0.06 325.28851684
0.016 0.046 0.07 325.285374326
0.016 0.046 0.08 325.253171333
0.016 0.048 0.01 325.973357032
0.016 0.048 0.02 326.010462029
0.016 0.048 0.03 326.015382469
0.016 0.048 0.04 326.010803452
0.016 0.048 0.05 326.028364492
0.016 0.048 0.06 326.030773491
0.016 0.048 0.07 325.998257092
0.016 0.048 0.08 325.952139237
0.016 0.05 0.01 326.834859379
0.016 0.05 0.02 326.862215602
0.016 0.05 0.03 326.882238585
0.016 0.05 0.04 326.869668711
0.016 0.05 0.05 326.913051813
0.016 0.05 0.06 326.926566459
0.016 0.05 0.07 326.825578174
0.016 0.05 0.08 326.794525707
0.016 0.052 0.01 327.897581075
0.016 0.052 0.02 327.882074437
0.016 0.052 0.03 327.898217162
0.016 0.052 0.04 327.88570583
0.016 0.052 0.05 327.895896843
0.016 0.052 0.06 327.842454963
0.016 0.052 0.07 327.90329691
0.016 0.052 0.08 327.853364472
0.016 0.054 0.01 328.949898891
0.016 0.054 0.02 329.022445306
0.016 0.054 0.03 328.978633423
0.016 0.054 0.04 328.980961989
0.016 0.054 0.05 329.027968067
0.016 0.054 0.06 328.980077948
0.016 0.054 0.07 328.943961047
0.016 0.054 0.08 328.871505059
0.016 0.056 0.01 330.003214867
0.016 0.056 0.02 330.079419239
0.016 0.056 0.03 330.065238393
0.016 0.056 0.04 330.091378639
0.016 0.056 0.05 330.053415492
0.016 0.056 0.06 330.03207919
0.016 0.056 0.07 330.025192768
0.016 0.056 0.08 329.950567854
0.016 0.058 0.01 330.929581865
0.016 0.058 0.02 330.888405609
0.016 0.058 0.03 330.935358735
0.016 0.058 0.04 331.007247643
0.016 0.058 0.05 330.960546989
0.016 0.058 0.06 330.95415323
0.016 0.058 0.07 330.95958164
0.016 0.058 0.08 330.880549478
0.016 0.06 0.01 331.558032512
0.016 0.06 0.02 331.693510896
0.016 0.06 0.03 331.56976815
0.016 0.06 0.04 331.662331828
0.016 0.06 0.05 331.696070036
0.016 0.06 0.06 331.572060756
0.016 0.06 0.07 331.672977411
0.016 0.06 0.08 331.512119732
0.016 0.062 0.01 332.030718813
0.016 0.062 0.02 332.085771324
0.016 0.062 0.03 332.126833869
0.016 0.062 0.04 332.087039647
0.016 0.062 0.05 332.127589451
0.016 0.062 0.06 332.101757881
0.016 0.062 0.07 332.077385417
0.016 0.062 0.08 331.979618103
0.016 0.064 0.01 332.299059887
0.016 0.064 0.02 332.354758238
0.016 0.064 0.03 332.334758911
0.016 0.064 0.04 332.357546842
0.016 0.064 0.05 332.431795091
0.016 0.064 0.06 332.406044292
0.016 0.064 0.07 332.318212499
0.016 0.064 0.08 332.239702676
0.016 0.066 0.01 332.438630709
0.016 0.066 0.02 332.386835284
0.016 0.066 0.03 332.49978344
0.016 0.066 0.04 332.540485562
0.016 0.066 0.05 332.499169651
0.016 0.066 0.06 332.485249358
0.016 0.066 0.07 332.478518846
0.016 0.066 0.08 332.375084619
0.016 0.068 0.01 332.496525079
0.016 0.068 0.02 332.53700604
0.016 0.068 0.03 332.549064324
0.016 0.068 0.04 332.601509243
0.016 0.068 0.05 332.483629126
0.016 0.068 0.06 332.557410148
0.016 0.068 0.07 332.463699022
0.016 0.068 0.08 332.434450115
0.016 0.07 0.01 332.51383738
0.016 0.07 0.02 332.535372319
0.016 0.07 0.03 332.518464107
0.016 0.07 0.04 332.564806372
0.016 0.07 0.05 332.608955675
0.016 0.07 0.06 332.538811383
0.016 0.07 0.07 332.532003046
0.016 0.07 0.08 332.453740826
0.016 0.072 0.01 332.513092978
0.016 0.072 0.02 332.590521365
0.016 0.072 0.03 332.554271477
0.016 0.072 0.04 332.552446337
0.016 0.072 0.05 332.530097014
0.016 0.072 0.06 332.509070397
0.016 0.072 0.07 332.546016662
0.016 0.072 0.08 332.466024284
0.016 0.074 0.01 332.520775619
0.016 0.074 0.02 332.543751734
0.016 0.074 0.03 332.543143956
0.016 0.074 0.04 332.532575627
0.016 0.074 0.05 332.57309436
0.016 0.074 0.06 332.519165921
0.016 0.074 0.07 332.474250518
0.016 0.074 0.08 332.487633514
0.016 0.076 0.01 332.550514454
0.016 0.076 0.02 332.629544951
0.016 0.076 0.03 332.615309178
0.016 0.076 0.04 332.594751018
0.016 0.076 0.05 332.664133744
0.016 0.076 0.06 332.599973469
0.016 0.076 0.07 332.609725333
0.016 0.076 0.08 332.529509311
0.016 0.078 0.01 332.612046876
0.016 0.078 0.02 332.665169006
0.016 0.078 0.03 332.67584367
0.016 0.078 0.04 332.701643223
0.016 0.078 0.05 332.671415485
0.016 0.078 0.06 332.621021816
0.016 0.078 0.07 332.640091685
0.016 0.078 0.08 332.595032373
0.016 0.08 0.01 332.70677055
0.016 0.08 0.02 332.770499408
0.016 0.08 0.03 332.764904213
0.016 0.08 0.04 332.793547173
0.016 0.08 0.05 332.788117704
0.016 0.08 0.06 332.776473703
0.016 0.08 0.07 332.712652972
0.016 0.08 0.08 332.687282458
0.016 0.082 0.01 332.825389229
0.016 0.082 0.02 332.899381206
0.016 0.082 0.03 332.91821902
0.016 0.082 0.04 332.880225512
0.016 0.082 0.05 332.835931986
0.016 0.082 0.06 332.801173105
0.016 0.082 0.07 332.765865837
0.016 0.082 0.08 332.80720931
0.016 0.084 0.01 332.968451258
0.016 0.084 0.02 333.009654322
0.016 0.084 0.03 333.04222707
0.016 0.084 0.04 332.992759516
0.016 0.084 0.05 333.017198958
0.016 0.084 0.06 332.930774307
0.016 0.084 0.07 333.005808123
0.016 0.084 0.08 332.950423134
0.016 0.086 0.01 333.119596664
0.016 0.086 0.02 333.111013289
0.016 0.086 0.03 333.140779428
0.016 0.086 0.04 333.19093215
0.016 0.086 0.05 333.159881579
0.016 0.086 0.06 333.16524996
0.016 0.086 0.07 333.149540418
0.016 0.086 0.08 333.111777776
0.016 0.088 0.01 333.284231445
0.016 0.088 0.02 333.306023846
0.016 0.088 0.03 333.358542779
0.016 0.088 0.04 333.330081724
0.016 0.088 0.05 333.333846202
0.016 0.088 0.06 333.306174842
0.016 0.088 0.07 333.340126212
0.016 0.088 0.08 333.276283783
0.016 0.09 0.01 333.442137954
0.016 0.09 0.02 333.543699188
0.016 0.09 0.03 333.459554599
0.016 0.09 0.04 333.527099849
0.016 0.09 0.05 333.50671194
0.016 0.09 0.06 333.54328713
0.016 0.09 0.07 333.494396701
0.016 0.09 0.08 333.439895959
0.016 0.092 0.01 333.597843134
0.016 0.092 0.02 333.6069649
0.016 0.092 0.03 333.68051916
0.016 0.092 0.04 333.590057328
0.016 0.092 0.05 333.655016845
0.016 0.092 0.06 333.685015916
0.016 0.092 0.07 333.587893265
0.016 0.092 0.08 333.592980301
0.016 0.094 0.01 333.732799086
0.016 0.094 0.02 333.842079094
0.016 0.094 0.03 333.838522914
0.016 0.094 0.04 333.813213312
0.016 0.094 0.05 333.824900601
0.016 0.094 0.06 333.736783578
0.016 0.094 0.07 333.742900291
0.016 0.094 0.08 333.72825125
0.016 0.096 0.01 333.833868043
0.016 0.096 0.02 333.826334118
0.016 0.096 0.03 333.947703766
0.016 0.096 0.04 333.928973511
0.016 0.096 0.05 333.943418308
0.016 0.096 0.06 333.91595743
0.016 0.096 0.07 333.886339822
0.016 0.096 0.08 333.832165386
0.016 0.098 0.01 333.88965577
0.016 0.098 0.02 333.944036506
0.016 0.098 0.03 334.04347195
0.016 0.098 0.04 334.018388504
0.016 0.098 0.05 333.948058339
0.016 0.098 0.06 333.990526475
0.016 0.098 0.07 333.963956214
0.016 0.098 0.08 333.892316913
0.016 0.1 0.01 333.874557068
0.016 0.1 0.02 333.937763774
0.016 0.1 0.03 333.952177018
0.016 0.1 0.04 333.911290765
0.016 0.1 0.05 333.989361757
0.016 0.1 0.06 333.950226741
0.016 0.1 0.07 333.974647824
0.016 0.1 0.08 333.888614531
0.016 0.102 0.01 333.777687704
0.016 0.102 0.02 333.850210362
0.016 0.102 0.03 333.835185197
0.016 0.102 0.04 333.887281822
0.016 0.102 0.05 333.859860972
0.016 0.102 0.06 333.845196837
0.016 0.102 0.07 333.895972125
0.016 0.102 0.08 333.789061912
0.016 0.104 0.01 333.569383426
0.016 0.104 0.02 333.731649615
0.016 0.104 0.03 333.673223681
0.016 0.104 0.04 333.680067904
0.016 0.104 0.05 333.674126976
0.016 0.104 0.06 333.634230993
0.016 0.104 0.07 333.692743347
0.016 0.104 0.08 333.590098961
0.016 0.106 0.01 333.238962353
0.016 0.106 0.02 333.306630312
0.016 0.106 0.03 333.410094359
0.016 0.106 0.04 333.288162649
0.016 0.106 0.05 333.322215019
0.016 0.106 0.06 333.303620659
0.016 0.106 0.07 333.374694891
0.016 0.106 0.08 333.25319266
0.016 0.108 0.01 332.742188086
0.016 0.108 0.02 332.866435146
0.016 0.108 0.03 332.815073513
0.016 0.108 0.04 332.896140044
0.016 0.108 0.05 332.841801463
0.016 0.108 0.06 332.84335562
0.016 0.108 0.07 332.833051597
0.016 0.108 0.08 332.769124402
0.016 0.11 0.01 332.062272803
0.016 0.11 0.02 332.204062163
0.016 0.11 0.03 332.12374055
0.016 0.11 0.04 332.23064323
0.016 0.11 0.05 332.153425784
0.016 0.11 0.06 332.149435103
0.016 0.11 0.07 332.183066764
0.016 0.11 0.08 332.088596083
0.016 0.112 0.01 331.29257687
0.016 0.112 0.02 331.23659891
0.016 0.112 0.03 331.220814048
0.016 0.112 0.04 331.296035334
0.016 0.112 0.05 331.285221564
0.016 0.112 0.06 331.287233465
0.016 0.112 0.07 331.272318293
0.016 0.112 0.08 331.315205654
0.016 0.114 0.01 330.076720097
0.016 0.114 0.02 330.069188334
0.016 0.114 0.03 330.045958545
0.016 0.114 0.04 330.092153482
0.016 0.114 0.05 330.180081098
0.016 0.114 0.06 330.063988043
0.016 0.114 0.07 330.035520607
0.016 0.114 0.08 330.073901576
0.016 0.116 0.01 328.857277286
0.016 0.116 0.02 328.789966985
0.016 0.116 0.03 328.859272931
0.016 0.116 0.04 328.806438742
0.016 0.116 0.05 328.903807293
0.016 0.116 0.06 328.847997805
0.016 0.116 0.07 328.925284969
0.016 0.116 0.08 328.835315566
0.016 0.118 0.01 327.653577814
0.016 0.118 0.02 327.681751951
0.016 0.118 0.03 327.638462001
0.016 0.118 0.04 327.6856364
0.016 0.118 0.05 327.682599344
0.016 0.118 0.06 327.672105684
0.016 0.118 0.07 327.693475789
0.016 0.118 0.08 327.613956158
0.016 0.12 0.01 326.519843625
0.016 0.12 0.02 326.500753406
0.016 0.12 0.03 326.540010295
0.016 0.12 0.04 326.560340449
0.016 0.12 0.05 326.574541276
0.016 0.12 0.06 326.581044416
0.016 0.12 0.07 326.582058071
0.016 0.12 0.08 326.488661345
0.016 0.122 0.01 325.608324481
0.016 0.122 0.02 325.639059707
0.016 0.122 0.03 325.601812358
0.016 0.122 0.04 325.629784416
0.016 0.122 0.05 325.594229609
0.016 0.122 0.06 325.606063242
0.016 0.122 0.07 325.646412885
0.016 0.122 0.08 325.588195959
0.016 0.124 0.01 324.882561548
0.016 0.124 0.02 324.88360917
0.016 0.124 0.03 324.873146868
0.016 0.124 0.04 324.895488685
0.016 0.124 0.05 324.923181049
0.016 0.124 0.06 324.904976947
0.016 0.124 0.07 324.893472723
0.016 0.124 0.08 324.86066304
0.016 0.126 0.01 324.322797595
0.016 0.126 0.02 324.311787475
0.016 0.126 0.03 324.320680943
0.016 0.126 0.04 324.294103161
0.016 0.126 0.05 324.339998021
0.016 0.126 0.06 324.343556644
0.016 0.126 0.07 324.321112465
0.016 0.126 0.08 324.302341696
0.016 0.128 0.01 323.895969675
0.016 0.128 0.02 323.902345818
0.016 0.128 0.03 323.900863174
0.016 0.128 0.04 323.889096341
0.016 0.128 0.05 323.906313619
0.016 0.128 0.06 323.905080953
0.016 0.128 0.07 323.906232636
0.016 0.128 0.08 323.879338407
0.016 0.13 0.01 323.577507726
0.016 0.13 0.02 323.581327361
0.016 0.13 0.03 323.578335341
0.016 0.13 0.04 323.562971844
0.016 0.13 0.05 323.585290844
0.016 0.13 0.06 323.577302229
0.016 0.13 0.07 323.566185621
0.016 0.13 0.08 323.560526144
0.016 0.132 0.01 323.34075735
0.016 0.132 0.02 323.328663042
0.016 0.132 0.03 323.329759746
0.016 0.132 0.04 323.315654039
0.016 0.132 0.05 323.340858319
0.016 0.132 0.06 323.33007489
0.016 0.132 0.07 323.320059527
0.016 0.132 0.08 323.314670908
0.016 0.134 0.01 323.159202012
0.016 0.134 0.02 323.150108916
0.016 0.134 0.03 323.149616995
0.016 0.134 0.04 323.151170928
0.016 0.134 0.05 323.152541902
0.016 0.134 0.06 323.146309241
0.016 0.134 0.07 323.141651995
0.016 0.134 0.08 323.127255033
