# X Y Z T_K
0.01 0.068 0.02 330.01934801
0.01 0.068 0.03 330.017689881
0.01 0.068 0.04 330.017575539
0.01 0.068 0.05 330.016460325
0.01 0.068 0.06 330.016615816
0.01 0.068 0.07 330.017567017
0.01 0.068 0.08 330.513211376
0.01 0.07 0.01 331.100523323
0.01 0.07 0.02 330.066983075
0.01 0.07 0.03 330.064518521
0.01 0.07 0.04 330.065392486
0.01 0.07 0.05 330.06474271
0.01 0.07 0.06 330.063737856
0.01 0.07 0.07 330.065391804
0.01 0.07 0.08 330.64980825
0.01 0.072 0.01 330.106574023
0.01 0.072 0.02 330.107985342
0.01 0.072 0.03 330.10497363
0.01 0.072 0.04 330.1062378
0.01 0.072 0.05 330.106841414
0.01 0.072 0.06 330.104433396
0.01 0.072 0.07 330.10540787
0.01 0.072 0.08 330.104121374
0.01 0.074 0.01 330.140509608
0.01 0.074 0.02 330.141486278
0.01 0.074 0.03 330.139524839
0.01 0.074 0.04 330.14037038
0.01 0.074 0.05 330.141900619
0.01 0.074 0.06 330.139371337
0.01 0.074 0.07 330.138743957
0.01 0.074 0.08 331.056725955
0.01 0.076 0.01 330.167583922
0.01 0.076 0.02 330.168549983
0.01 0.076 0.03 330.167296025
0.01 0.076 0.04 330.168032369
0.01 0.076 0.05 330.169762867
0.01 0.076 0.06 330.168294459
0.01 0.076 0.07 330.166128431
0.01 0.076 0.08 331.158896859
0.01 0.078 0.01 330.188232069
0.01 0.078 0.02 330.189771877
0.01 0.078 0.03 330.188870311
0.01 0.078 0.04 330.189411114
0.01 0.078 0.05 330.191038208
0.01 0.078 0.06 330.189865459
0.01 0.078 0.07 330.187478355
0.01 0.078 0.08 331.207472718
0.01 0.08 0.01 330.201890963
0.01 0.08 0.02 330.204619341
0.01 0.08 0.03 330.203961916
0.01 0.08 0.04 330.204807921
0.01 0.08 0.05 330.205865952
0.01 0.08 0.06 330.205469393
0.01 0.08 0.07 330.202992192
0.01 0.08 0.08 330.719632347
0.01 0.082 0.01 330.211176486
0.01 0.082 0.02 330.213182586
0.01 0.082 0.03 330.212901657
0.01 0.082 0.04 330.21402949
0.01 0.082 0.05 330.214520118
0.01 0.082 0.06 330.213955992
0.01 0.082 0.07 330.604233108
0.01 0.082 0.08 330.212354667
0.01 0.084 0.01 330.216101239
0.01 0.084 0.02 330.215815375
0.01 0.084 0.03 330.215497749
0.01 0.084 0.04 330.217083801
0.01 0.084 0.05 330.216531306
0.01 0.084 0.06 330.216068366
0.01 0.084 0.07 330.21488665
0.01 0.084 0.08 330.215231057
0.01 0.086 0.01 330.213199085
0.01 0.086 0.02 330.212295984
0.01 0.086 0.03 330.212018258
0.01 0.086 0.04 330.213337344
0.01 0.086 0.05 330.211962831
0.01 0.086 0.06 330.212326562
0.01 0.086 0.07 330.211101968
0.01 0.086 0.08 330.212141001
0.01 0.088 0.01 330.203492216
0.01 0.088 0.02 330.20211038
0.01 0.088 0.03 330.202239926
0.01 0.088 0.04 330.202649938
0.01 0.088 0.05 330.201057583
0.01 0.088 0.06 330.202489677
0.01 0.088 0.07 330.201110803
0.01 0.088 0.08 330.734188187
0.01 0.09 0.01 330.18668365
0.01 0.09 0.02 330.18508037
0.01 0.09 0.03 330.185232387
0.01 0.09 0.04 330.18591953
0.01 0.09 0.05 330.184204026
0.01 0.09 0.06 330.18674174
0.01 0.09 0.07 330.185002445
0.01 0.09 0.08 331.342334824
0.01 0.092 0.01 330.161575997
0.01 0.092 0.02 330.161719188
0.01 0.092 0.03 330.161303657
0.01 0.092 0.04 330.16257654
0.01 0.092 0.05 330.160963104
0.01 0.092 0.06 330.163871095
0.01 0.092 0.07 330.162325851
0.01 0.092 0.08 330.79936869
0.01 0.094 0.01 330.131932374
0.01 0.094 0.02 330.132098915
0.01 0.094 0.03 330.131043706
0.01 0.094 0.04 330.131996295
0.01 0.094 0.05 330.130931912
0.01 0.094 0.06 330.133617877
0.01 0.094 0.07 330.132752824
0.01 0.094 0.08 330.134022009
0.01 0.096 0.01 330.094862515
0.01 0.096 0.02 330.095464895
0.01 0.096 0.03 330.094492262
0.01 0.096 0.04 330.094790178
0.01 0.096 0.05 330.09368036
0.01 0.096 0.06 330.097251421
0.01 0.096 0.07 330.096284982
0.01 0.096 0.08 330.097151383
0.01 0.098 0.01 330.050734846
0.01 0.098 0.02 330.050989211
0.01 0.098 0.03 330.050613172
0.01 0.098 0.04 330.049987731
