G_pp_W_m2K,G_ep_int_W_m2K,G_ep_bulk_W_m3K,kappa_e_W_mK,kappa_p_W_mK,G_total_W_m2K,G_e_channel_W_m2K,G_p_channel_W_m2K,electron_channel_fraction,phonon_channel_fraction,l_ep_m,R_e_m_m2K_W,R_p_m_m2K_W,R_ep_m2K_W,R_pp_m2K_W
444088088.99431956,398107170.5534969,1e+17,350.0,20.0,732164429.8466662,391974662.76060694,340189767.0860593,0.5353642525937737,0.46463574740622626,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,2.5118864315095824e-09,2.2518054971134144e-09
444088088.99431956,501187233.6272715,1e+17,350.0,20.0,831696242.8458542,491506475.7597949,340189767.0860593,0.590968734063273,0.409031265936727,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1.9952623149688828e-09,2.2518054971134144e-09
444088088.99431956,630957344.4801943,1e+17,350.0,20.0,955880497.4396288,615690730.3535695,340189767.0860593,0.6441084759054362,0.35589152409456376,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1.5848931924611107e-09,2.2518054971134144e-09
444088088.99431956,794328234.7242821,1e+17,350.0,20.0,1110472691.6041925,770282924.5181333,340189767.0860593,0.6936531896208812,0.3063468103791188,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1.2589254117941663e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,1e+17,350.0,20.0,1302376895.779023,962187128.6929637,340189767.0860593,0.7387931495186936,0.26120685048130643,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,2.2518054971134144e-09
444088088.99431956,1258925411.794166,1e+17,350.0,20.0,1539766878.748205,1199577111.6621456,340189767.0860593,0.7790641091314903,0.22093589086850973,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,7.943282347242822e-10,2.2518054971134144e-09
444088088.99431956,1584893192.4611108,1e+17,350.0,20.0,1832156527.768096,1491966760.6820366,340189767.0860593,0.8143227601298492,0.18567723987015075,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,6.309573444801943e-10,2.2518054971134144e-09
444088088.99431956,1995262314.9688828,1e+17,350.0,20.0,2190376080.458445,1850186313.372386,340189767.0860593,0.844688877804556,0.15531112219544402,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,5.011872336272715e-10,2.2518054971134144e-09
444088088.99431956,2511886431.509582,1e+17,350.0,20.0,2626395024.403516,2286205257.3174567,340189767.0860593,0.8704727339470497,0.12952726605295037,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,3.9810717055349694e-10,2.2518054971134144e-09
444088088.99431956,3162277660.1683793,1e+17,350.0,20.0,3152918507.413959,2812728740.3279,340189767.0860593,0.892103216024735,0.10789678397526511,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,3.1622776601683795e-10,2.2518054971134144e-09
444088088.99431956,3981071705.5349693,1e+17,350.0,20.0,3782678476.2771277,3442488709.1910686,340189767.0860593,0.9100664332907115,0.0899335667092886,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,2.511886431509582e-10,2.2518054971134144e-09
444088088.99431956,5011872336.272715,1e+17,350.0,20.0,4527354242.235305,4187164475.1492453,340189767.0860593,0.9248590349055398,0.07514096509446018,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1.9952623149688828e-10,2.2518054971134144e-09
444088088.99431956,6309573444.801943,1e+17,350.0,20.0,5396103270.221573,5055913503.135513,340189767.0860593,0.9369564016753722,0.06304359832462779,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1.584893192461111e-10,2.2518054971134144e-09
444088088.99431956,7943282347.242822,1e+17,350.0,20.0,6393773092.311941,6053583325.225882,340189767.0860593,0.9467935814777172,0.05320641852228277,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1.2589254117941662e-10,2.2518054971134144e-09
444088088.99431956,10000000000.0,1e+17,350.0,20.0,7518998662.063421,7178808894.977362,340189767.0860593,0.9547559745152685,0.04524402548473147,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-10,2.2518054971134144e-09
