# branch	q_real(1/m)	f(THz)	vg(m/s)
1	8.4559420254e+09	1.8331060000	260.3202708288
1	8.5686829905e+09	1.8388190000	376.2410936342
1	8.6814239557e+09	1.8466080000	491.3538145498
1	8.7941649208e+09	1.8564520000	604.6831381915
1	8.9069058859e+09	1.8683080000	715.2259035927
1	9.0196468510e+09	1.8821190000	822.1740088636
1	9.1323878161e+09	1.8978130000	924.6636209497
1	9.2451287812e+09	1.9153020000	1021.6353681971
1	9.3579313534e+09	1.9344860000	1112.9816549018
1	9.4706723185e+09	1.9552540000	1198.1085810913
1	9.5834132836e+09	1.9774820000	1275.8814215841
1	9.6961542487e+09	2.0010410000	1346.1862859922
1	9.8088952138e+09	2.0257920000	1408.6330561621
1	9.9216361789e+09	2.0515920000	1462.8873451049
1	1.0034377144e+10	2.0782900000	1508.7262281614
1	1.0147118109e+10	2.1057350000	1546.0382430019
1	1.0259859074e+10	2.1337720000	1574.6840617144
1	1.0372600039e+10	2.1622450000	1594.5522219692
1	1.0485341004e+10	2.1909950000	1605.6705893489
1	1.0598081970e+10	2.2198670000	1608.1227606005
1	1.0710822935e+10	2.2487050000	1601.4433173228
1	1.0823625507e+10	2.2773530000	1586.5114449002
1	1.0936366472e+10	2.3056550000	1562.4232054561
1	1.1049107437e+10	2.3334230000	1452.8278698566
1	1.1161848402e+10	2.3577920000	1358.1127552614
2	0.0000000000e+00	-0.0000000000	2362.6112698021
2	1.1274096511e+08	0.0423930000	2362.0539581539
2	2.2548193021e+08	0.0847660000	2360.3541576272
2	3.3822289532e+08	0.1270980000	2357.5397338043
2	4.5096386042e+08	0.1693700000	2353.6106866852
2	5.6370482553e+08	0.2115610000	2348.5670162699
2	6.7644579063e+08	0.2536520000	2341.7967529623
2	7.8924836283e+08	0.2956230000	2334.5815384895
2	9.0198932793e+08	0.3374550000	2473.2097663680
2	1.0147302930e+09	0.3843780000	2895.6241300476
2	1.1274712581e+09	0.4413690000	3239.9312662455
2	1.2402122232e+09	0.5006480000	3360.6449692245
2	1.3529531884e+09	0.5619710000	3467.1750907593
2	1.4656941535e+09	0.6250730000	3558.8249912898
2	1.5784351186e+09	0.6896850000	3635.3717461567
2	1.6911760837e+09	0.7555340000	3696.8710865249
2	1.8039170488e+09	0.8223530000	3743.6573993831
2	1.9166580139e+09	0.8898810000	3776.0650717203
2	2.0293989790e+09	0.9578630000	3794.3727593605
2	2.1421399441e+09	1.0260480000	3797.8771779323
2	2.2549425163e+09	1.0941930000	3788.9347692613
2	2.3676834814e+09	1.1620570000	3767.6496658339
2	2.4804244465e+09	1.2294010000	3564.9832850014
2	2.5931654116e+09	1.2899920000	2832.5364514823
2	2.7059063767e+09	1.3310510000	2277.4819155544
2	2.8186473418e+09	1.3717230000	2254.0748263340
2	2.9313883069e+09	1.4119420000	2227.1009425659
2	3.0441292720e+09	1.4516460000	2196.7831889091
2	3.1568702371e+09	1.4907770000	2163.2608932757
2	3.2696112022e+09	1.5292780000	2126.7291147426
2	3.3823521673e+09	1.5670980000	2086.8406029408
2	3.4951547395e+09	1.6041880000	2044.8864987087
2	3.6078957046e+09	1.6405020000	2000.9996069306
2	3.7206366697e+09	1.6759970000	1954.3247564020
2	3.8333776349e+09	1.7106360000	1905.6435839402
2	3.9461186000e+09	1.7443840000	1855.1232830397
2	4.0588595651e+09	1.7772100000	1803.0703751069
2	4.1716005302e+09	1.8090900000	1749.7635159658
2	4.2843414953e+09	1.8400030000	1695.4256302758
2	4.3970824604e+09	1.8699330000	1640.3632394433
2	4.5098234255e+09	1.8988700000	1584.8828648746
2	4.6225643906e+09	1.9268090000	1529.2074312292
2	4.7353053557e+09	1.9537480000	1473.6155943309
2	4.8480463208e+09	1.9796920000	1417.9428627564
2	4.9608488930e+09	2.0046470000	1363.0905179801
2	5.0735898581e+09	2.0286220000	1309.1250613934
2	5.1863308232e+09	2.0516270000	1255.4002185163
2	5.2990717883e+09	2.0736740000	1202.2884184521
2	5.4118127534e+09	2.0947730000	1149.7896612008
2	5.5245537185e+09	2.1149360000	550.8746985672
2	5.6372946836e+09	2.1145420000	-318.8101282972
2	5.7500356487e+09	2.1034950000	-659.4390076176
2	5.8627766138e+09	2.0908770000	-740.5835835814
2	5.9755175789e+09	2.0769180000	-809.0493195508
2	6.0882585441e+09	2.0618430000	-865.0312746027
2	6.2009995092e+09	2.0458750000	-908.5041482193
2	6.3138020813e+09	2.0292310000	-940.1508032045
2	6.4265430465e+09	2.0121270000	-960.2758352635
2	6.5392840116e+09	1.9947700000	-453.7910094677
